label	text
SAR	issoot wherever you are come home baby so we can hug you and comb your curls
SAR	things that make me happy you . lazy weekends . certain people . food . music . cute texts . concert tickets . summer . you .
SAR	i lost two friends in less than  hours .  i love people 
NON	how i stop making myself feel like shit  of the time
NON	reading text messages while half asleep is like looking into the sun .
NON	just want to play already , fuck school . can not wait to get everything and get on my grind .
NON	restroom hand dryers are a great way to warm your hands before wiping them on your jeans .
NON	casually looking online for a new car .  because i am totally in the market to make that kind of purchase  
NON	i am glad the quiz questions correspond with the chapter
NON	good thing we had this assembly because bexley is  seriously  suffering from drug addiction issues , right ?
SAR	 idf arrests  a un reports says the attack was started when the streets were full of children .
SAR	 but why are you in a foul mood elle ?  i m joking  cheer up ! xx
NON	in case anyones wondering , right now it feels like my intestines are trying to secede from the rest of my body .  its a pretty fun time !
SAR	good morning or maybe is it night ? hard to tell bc it ' s so fucking dark goodnight
SAR	looking forward to a weekend full of hockey  sticks   wis 
NON	being defriended from facebook , my heart is broken   defriended   heartbroken 
SAR	cosy friday night in ? enjoy a takeaway with us by clicking on  
SAR	i just wana play zombies to release frustration
SAR	even the lady making my cake is making the decisions for my party without considering my feelings , idc anymore
NON	when things are not adding up in your life , start subtracting .
SAR	  selfish man , its easy to be a team player when you r winning . true test of character is when things r tough
SAR	well this was a great start to my day .  5 h our job   tree removal   leaf clean up 
SAR	does funding science pay ? us has attracted  nobel physics winners born in other countries physics world
SAR	confession is daebak . to the couple out there please listen to got 7 new song and to single out there i dont have to say cheers lol      
NON	this is just getting way to fucking frustrating . it always fucking second half . is this season over yet . i am done .  great senior year 
SAR	i do not give handshakes because i do not want to get caught
NON	took a nap and woke up to ole ' jimbo laying the law down on jameis winston . impressed with the 1 st half suspension .  fsu 
NON	 sagittarius  are living in a world where losing phone is more dramatic than losing virginity .
SAR	it seems like cats never forgot the fact that they were worshipped as gods thousands of years ago
SAR	i used to hate cursive lessons so much so during cursive writing class the teacher would allow us to do whatever as long as we were quiet
NON	it bothers me that ' beliebers ' are saying  now only  they heard jb ' s coming to sa ? .  did u  not  see his tweet 2 months  ago  ?  real fans  ?
SAR	sydney fc escape with point in goalless a league draw with perth glory
SAR	so its confirmed now that skepta is signed to  ovo  ?
NON	sniffs love on tl . i need to sneeze
NON	i am beginning to think that i buy bananas just to watch them die a slow death in my kitchen .
NON	it dropped  degrees in  hours and is not pouring .  yay  
NON	i heard brian ' s sneeze all the way from england is this true love i think so
SAR	 make the land , air and water dirtier , give tax relief to the rich and rich corporations , screw the middle class , give >
NON	a naked iphone is so beautiful but too risky .
NON	this status was brought to you by me being bored on the toilet .
NON	i love being lied to .
SAR	 just collected my twin sisters ' pension  fuck bitches get money 
SAR	so hot down here in sydney today i was practically a hydro electricity power station .
SAR	love long bus rides  
NON	i told my daughter that she can not have boyfriend till her age is off the clock . puts military clock on wall
NON	rt biggest joke of the century computers and mobile were invented to save our time .
NON	if you see me smiling in public it means im laughing at the jokes i tell myself in my head
SAR	this hamster had its period on  ' s hand . i never laughed so much in my entire life
NON	i remember a lorry full of mattresses crashing on m1 . i said police were sleeping on the job they were not happy !
SAR	yes . i worry for you always , but not for others . unless you worry , i will not . so , do speak to me ?
NON	 do not let up on the benghazi story  the  truth needs to be found sure it can be with this admin
NON	remember things will get worse before they get better . but when they do , remember who put you down and who helped you up .
SAR	fruit basket heat so you can speak to this banana 
SAR	 what you think about vape not being in college if it stopping smokers to smoke .
SAR	folk who fat shame because obesity is unhealthy yet smoke and drink for their tumblr aesthetic lol go away
SAR	 really tells the dishonest bribery story and what they do not want us the people to know
NON	i actually love going to school on fridays because no scrubs and the cool tunes they play in between classes
NON	had a suprise maths test today in finance i was so pleased about that
NON	in elementary i couldnt wait to come to highschool now i just wanna go back  
NON	all nighter studying for my physics exam what a charm
SAR	got to finish these oh so interesting readings though
NON	i love when phil and bosco scream my name in the halls  hate u both 
NON	going straight to bed after practice today .  exhausted 
NON	 awesome article on the jags . we are tired of the media ignoring us . nice  c a reporter be professional and do his homework
NON	i am going to change my name on facebook to benefits so that when you add me , it will say , you are now friends with benefits .
SAR	a lot of people are going to get rich er at this tiny wall street firm
NON	i never finish my eraser because it is either stolen , lost or cut in half .
SAR	 would not it be more beneficial if she created jobs for people
NON	 if trump is a non issue and can not possibly win why do you cover him every night ? because your scared or making money of his name .
SAR	oh man , super fun night last night .   woah pretty crazy 
NON	 nz secret santa   question 2  i wet myself at primary school waiting for a teacher to let me go to the bathroom .
SAR	 sorry i will miss it tonight , i am watching some paint dry
SAR	it ' s nice to be back in twitter world . 3 days akong nawala sa twitter world  aldub sumptuous lunch 
NON	covered in hives and cant breathe i just wanna sleep wtf
SAR	i love how honest and open she is being about racism in media . so refreshing to not speak in code .
NON	rt girls on instagram be like , i am victoria secret model . wonder if victoria knows this secret .   !
NON	school is just an endless cycle of i just need to make it through this week every week
SAR	 not this creepy thing again this actually freaks me out what is this 
SAR	my train got canceled .  good way to start the day ! .  västtrafik 
NON	 i am sorry but if your diesel is knocking there is something wrong .
SAR	when ur parents tell u they are proud of u for the first time
NON	so glad i have a bio teacher that is gracious enough to teach me correctly   kms 
NON	i get back from my exam later today and i have to start studying for another one tomorrow .  great
NON	have no regrets except all those facebook pages you liked back in  , regret those
SAR	.  that was sarcasm . oh you can be the next bill murray ! like if you agree or reply with  yes  or  no 
SAR	great start to my day  .
SAR	 that second clip was great , though . you really deconstructed his stupid thought experiment about flipping sides .
SAR	do u ever just crave someones presence and realize they probably dont even think about you
SAR	super excited to see  and  next week  ep   amigos reunited 
NON	.  do not want people who actively engage in this sort of activity to know how they get caught . i am soryr , but if it
NON	rt engineering students that ' s what we do . we study and we forget things .
NON	stuck babysitting my  year old cousin
SAR	  yup .  very self serving . if it gets him to a bigger market , that would be great news .  good riddance 
NON	do we have time for these hoes ? no no no no no no no no no no no no
NON	love being wide awake at this time on a sunday 
SAR	it ' s a great start of the day 
SAR	every time i see dave grohl with his long hippy haircut i wonder if he ' s back on heroin .
NON	when your phone goes off in class and everyone starts coughing to cover up the ring tone from the teacher . well done team .
SAR	 i would luv to see that one day wishful thinking lol great job tho
SAR	     there ' s no way i ' d ride a scooter in jax . the traffic is a
NON	 i only have 3 0 min lunch break though so i may as well drive back home grab soup or something and come back .  bank is always busy
SAR	 4 9 ers  dc eric mangini believes armstead still needs work on pad level but says he ' s a fast learner , smart , strong work ethic and high motor
NON	 should you tour in us or need on in the  uk i  would love a chance to work for you as a nanny and assistant . excellent references cheers
NON	 that ' s what i love about ma and ct you can register and insure a car without a license and that ' s what i did haha
SAR	 just drinking juice on a dock lol
SAR	lemme shower so i could sleep in tmm
SAR	the coming about of an information booklet ralley , already sent . before me will be soon events which me to handle directly , could not ask
NON	i love that sound u make when u shut the fuck up
SAR	a couple can not be goals if they have been dating for a week . i do not understand .
SAR	happy happy happy birthday  stay happy hehehe love ya , girl
SAR	i am getting these printed up on zazzle to try and sell at junky comics soon  .
SAR	the only thing i be looking forward to on the weekends is sunday , because of football .
NON	when it ' s allowed to use your phones during classes lol yay
SAR	the dudes in  released a brand new song today . i mixed it and helped produce it , it is  rad  !
SAR	nathan let me braid his hair today then i gave him a hair cut and he really liked it
SAR	it has been an absolute joy working with  on  ! i loved our scene in last night ' s episode .  cw tvd 
SAR	fewer people having their credit card applications rejected , but credit limit increases harder to come by .
NON	i wake up excited to go to sleep
SAR	goal for the day successful bag sale !
SAR	correction my life would be complete if there was an olive garden and chipotle in danville
NON	working a  on my day off . so you know i am going to lush afterwards to spend my overtime  before i even get it .
SAR	thanks bro , i appreciate it ! and i hope college is going great for you
NON	 lol girl i do not let too many ppl babysit him right now . i want to wait until he ' s a little older  
NON	there are over  different flavors of ramen noodles , yet they all taste like poverty and loneliness .
NON	lol this dude commented on yesterday ' s video and said  dcp  should kill himself hahah thanks dude i will get right on that hahahaa
SAR	 ur video made me cry . stay strong , honey . dont push yourself too hard . you are a super human being for being you . i love you .
SAR	 i do not claim to be an expert on geopolitical issues . these issues are so complex . i will always dream about global peace .
NON	having a girl like me .  im a handful and will get u mad like crazy but theres no one in the world who will love and take care of u like me tho
SAR	 tass  world explosion in kabul kills two media
NON	when we not arguing i swear he is my best friend
SAR	hip hip hooray it ' s her birthday today ! my lovely mum enjoying afternoon tea  harrogate .  worththewait 
SAR	 why does donald trump even go for president ? he will destroy our economy . vote if he should or should not be president .
SAR	glad myke do not put nor keep me in hoe drama
SAR	michigan state been cold though why are people shocked i got ohio state losing to michigan too
SAR	when things goes wrong , speak up the reason .  honest is always the best thing to do .  even that is truly painful to do so . 
SAR	do i look cool with this casual pose ?  undateable live 
NON	 oh i am so so jealous
SAR	i realized i do not care for a lot of people .  so if i do not speak to you i prolly do not like you tbh
SAR	true friends will be by your side through it all .
SAR	so you know its real ,
SAR	should i do my home work ? .   don  ' t 
SAR	the noise is the best part 
NON	 rt hbd  ugly jonathong ! thanks for always being there to piss me off and insult me 
SAR	kayla is in the other room and i can here her listening to 5 sos videos and ive never wanted to run away more . 
SAR	 good to be home . good to be with you  
NON	thanks for caring . 
SAR	 cult relationships  fast days and fast love ? better be sure ! click button , scroll to listen , and share . sponsored by . 
NON	picture a scavenger hunt where the only items on the list are your house keys and your house . well , son , that ' s what drinking is like .
SAR	   i just picked up that  arc  yesterday and am  super excited 
NON	  kids are jerks . and they ruin lives . they are lucky they have that instant love thing going for them . lol
NON	so glad that i have a  in ap bio . 
NON	working   hours everyday next week with one day off .  which is sunday ! that does not count for me    god help me   basically full time hours 
NON	if you listen closely you can hear the gas pump tell your kid ' s college fund to go screw itself .
SAR	niggaz be hurt so they start talking bad about a female cause they ain ' t get no play or she not fucking with em like that
NON	let us not go to classes for the rest of the day .  my life sucks   college probs 
SAR	last night i met my favorite actor  johnny depp  ! we are now best buddies !  mindblown   gov awards 
NON	it takes me like three days to wake up in the morning .
NON	yesterday , passport office said new one was in post . today they tell me they have just received application twice !  confidence is high 
SAR	 i swear to christ i was just about to tweet this to you as a joke .
NON	gotta love  and a half hour days  bagged 
SAR	 spiky idiot intentionally catches fire often
NON	 well you heard the man , he ' s camera shy .    yeah right 
SAR	i have seen enough to last me a year !  tbt   thanks 
NON	the true secret to happiness is to not give a fuck
SAR	so annoying when the only person you wanna speak to is the only person you can not  
NON	went for a run around ballarat this evening , this place was buzzing  australia 
SAR	looking forward to the football tomorrow
NON	wow i love looking like a little boy in this jersey . 
SAR	days like these , they go by way too fast . days like these you wanna make em ' last .
NON	it ' s fucking freezing and it ' s raining and the fire alarm goes off  fuck my life 
NON	it costs  .  to stay in your lane and mind your damn business
NON	rt whats happening ? twitter asks about my life more than anyone else .
NON	yeah im blasting what a feeling in the car and my mom has not lowered the volume  this is a first 
SAR	mac demarco has made it onto the costa playlist . i feel like a proud mum
SAR	work is definitely getting better . calls are going smoother . excited to start having  days off a week . i am very fortunate !
SAR	 what should i have for tea tonight ? it ' s freezing in scotland
NON	glad my hair ain ' t get fcked up in this rain !
SAR	check out liam ' s cool wish 
NON	i am going to hit my head against a wall while hoping this idiot gets killed off soon .  comet lucifer  is certainly getting me to react to it .
SAR	when someone loves you a much as you love them   best feeling ever 
NON	hey whiny kids with iphones when i was your age , i played with a stick .
SAR	me when 5 sos are playing  mtv stars  5 sos
NON	happy fucking monday to me !
NON	kill bill with kindness  make a film way too cheery 
SAR	!  practice being cancelled would be a gift from god
NON	can i just move to new york to have a cute lil penthouse already
NON	 still do not get them for another hour you maniac
SAR	call in   and join us in the chat room as w e chat w / author on
SAR	cold as shit waitin onna bus
SAR	it ' s hard to wake up from a nightmare . if you are not even asleep . art for life
NON	 he is getting so big ! i cannot wait for her to need us to babysit .
NON	we are not true friends until i have sent you a pic of my double chin
NON	the sight of naked cleavage reduces a man ' s ability to reason by  .  per boob .
NON	what ' s your favorite position in bed ? near the wall so i can use my phone while it ' s charging
SAR	worrying is stupid . it ' s like walking around with an umbrella , waiting for it to rain .
SAR	happy birthday  hope you had an amazin day my girll illy !  
SAR	feel like crap , tomorrow should be great .  throat hurts   allergies 
SAR	on the bright side my boyfriend is bringing me taco bell and taking me to a concert .  where i can listen to gorgeous music and hate life .
SAR	 we wish no death to anybody .  hillary is sick and should go and rest at home . trump will become the president
SAR	time to go edit , finish by  , then go do homework
NON	i am lying i will be sleep in the next half hour once i really lay down 
SAR	just so you know even if you do not want to speak to me i am within my rights to use public tweets 
SAR	haha nice  and thanks ! 
SAR	 lol if my pc did that i would find a way to fix it myself but my pc is weak it can not run that game i
SAR	yo cervix my phone off 
SAR	 hi . i need to pay for some goods on my credit card that is above credit limit . can i dep the add funds and pay with cc
SAR	shower time never sounded so good !  the  pug  wants to share ! enter  giveaway 
NON	 fact  mimes always scream when you kick them in the balls .
SAR	 you have made a cover and  is not the center piece but in the corner ?  fail  .
NON	did my mum seriously tell me all the names she wants her grandchildren to be called .  got a few years to wait yet love !
NON	omg i only shaved one leg
NON	rt there is always one friend who says ' kuch bhi ' when asked wat he will have in a restaurant .
NON	just farted and it sounded like a baby elephant discovering how to use it ' s trunk .
SAR	you can not make people appreciate or value you but you can make them wish they did .
NON	ends every piece of advice with idk though so that its not my fault if i ruin ur life
NON	really love public school 
NON	me hey miley guess what ? miley what ? me chicken butt
SAR	i hate when you visit the doctor and he smiles at you . i am sick you moron . act grim , like the world ' s ending .
NON	 nope , hoping for a new direction national
SAR	i swear imma learn to play the guitar
SAR	oh christ are you going to ambers party ? ffs yeah why would not i woo woo !
SAR	 not employed but my wife and i would love a couple of hats or a yard sign or bumper sticker
NON	woke up .  came to my  .  it ' s canceled .  thanks for the notification  after i  was up
NON	 i am not .  not really much of a gamer . it always sounds fun in theory , but i lack the enthusiasm to make it worth the time !
SAR	who got me sick ? !  i have the worst sore throat
SAR	the best neighbors bring over a big pot of chowder !
NON	great start to my day  
SAR	i seriously need sleeping pills or something .
SAR	i ain ' t got no manners for no sluts , i ama put my thumb in her but .
SAR	 for  am as  favorite male artist country ! because who else played  shows with a broken clavicle . 
SAR	 aries  do not give a fuck how beautiful you are , if you show one aspect of ugly personality it ' s over for you .
SAR	 that ' s awesome ! i would recommend a telescope for christmas . just throwing that out there . 
NON	i do not have  years to wait , so i will just use all the roads as is .
SAR	this is not so good .
NON	ios  has restarted downloading on me  twice  now .  no new technology to show for the last last  hours of trying .  i os 8   apple   win 
NON	they are arguing about who ' s the best  boyfriends goals 
SAR	feeling honored ! can not wait to play tonight !
SAR	disappointed is an understatement 
SAR	 vote one direction  fuck all you that r not tweeting this 
SAR	i want one of them love pink bed in a bad sets
SAR	happy birthday kakak , hehe  may allah bless you and your family always and be happy always . much love ,
SAR	 happy birthday baby girl ! hope u have an amazing day filled with lots of alcohol ! miss and love you lots  
NON	dropping an iphone is like having sex you can do it a lot w / o protection and nothing bad happens , but it only takes once to ruin your life
SAR	new story today for all my followers funny true story of me loosing my virginity follow with  just the tip 
SAR	i think its funny when i drink too much , hey
SAR	 hahaha i have got a big game tomorrow night i should be getting my sleep !
NON	my hair is clean and i shaved one leg . today is a classy day .
SAR	when you have a stupid android and it does not have the poop emoji .  wtf  !
NON	stop asking about college ! stop asking about jobs and my career ! stop asking about my future !  i don  '  t know okay i don  '  t know  !
NON	oh the joys of  android  emulation on the laptop
SAR	i hate being up early , but i do love watching the sun creep up over the horizon . i just wish it did so about  so i could still sleep in .
NON	 i wish i wasnt so fucking insecure about my body like damn son i just want to wear shorts without almost crying 
NON	 what ? you have to meet you to know what a jerk you are ? hell your out there advertising it every day .
SAR	here ' s proof that i am an adult now i just packed one carry on for the train .   nes  and  sega  are wrapped in towels .
NON	rt some people are like hidden treasure , i would love to hide them bury the ground .
SAR	when you know something so horrible you have to speak it so it does not fester , yet no one else is talking . so awkward . i hate this feeling .
SAR	 yeah , but beckett is the kind of guy that just makes you want to root for him .
SAR	so i accidentally took over the whole room and now i am trying to make room for my roommate .   who is coming tomorrow btw  .   rushed 
NON	i love the fact that you can spend your day off taking selfies and hanging out with your boyfriend instead of with your kids
NON	rt going on facebook has become the equivalent of opening the fridge and staring inside , even though you are not hungry .
NON	if i share my food with you , that means i care .
SAR	sadly , the hidden valley titans volleyball team fell short in today ' s 3 a state championship game against warhill .
NON	love being wide awake at   jokes   bants  
NON	   i am glad your parents will not let you leave school early , it brings me joy
SAR	the only difference between a collector and a hoarder is the station the show is on .
SAR	when someone tries to hurt your feelings but you do not have any
NON	looks like we could be in for another goal feast  swfc 
SAR	i just took this photo so i look ugly because at the moment i go to sleep . i do not speak english   sefies for nash 
SAR	happy birthday gorgeous  hope you have an amazing day !
SAR	 i really hope you are having and amazing day , almost as amazing as you !  
NON	vegetarians , if you love animals so much why do you eat all their food ?
NON	i see subway employees are still having their how much lettuce can you fit on a sandwich contest .
SAR	the peanuts movie was great though . it was so funny 
NON	ready for this gauntlet this weekend .
SAR	put it on em , make em wanna marry me bitch shutup with all that shit . ! 
SAR	  battlefront  easily one of the most graphically spot on games this year , absolute joy to play !
NON	do not ask me about politics . i stopped trying to understand the world when i learned some people prefer chunky peanut butter .
SAR	 mr president you are not listed in all the  states , your name is missing from the ballots . you have  days to fix that
NON	rt ok  .  my grammar is not poor .  word limits make me do so
SAR	 aw that ' s awesome ! thank you , cathy ! you are one of my best friends in the whole world too 
SAR	indian summer how joyous it is to have great weather and friends , to be able to play until there is no end
NON	 i love  how celebs show so much tolerance and love
NON	rt she i saw sharks evacuating water from their back me they do not do that , you might be watching nickelodean
NON	i could amaze you with the things i do not know and terrify you with the things i do know .
SAR	ordering things online is the best thing ever
NON	the difference between pizza and your opinion is that i actually asked for pizza
SAR	 what up boo ?
SAR	no words can explain how much we love u meng ! her simplicity makes her more beautiful !   aldub fixed marriage 
SAR	williams producers shut in more gas to transco line due isaac  new york   reuters williams cos inc on m
NON	i straightened my hair but it ' s curling because of the snow 
NON	your joy is they poison your suffering they supper
SAR	scaring small children is one of lifes greatest pleasures
SAR	i do not talk just to talk so when i speak listen up !
NON	love that i placed an order with   days ago and it still has yet to ship . such impressive service !
NON	i love ships , but riding in them makes me puke .
SAR	a relationship where you are completely comfortable , there ' s no awkward moments , you can be weird , and all you all do is laugh > > >
NON	i just love when people talk about their boring work projects at lunch .
SAR	great story on  deckers dogs  on the  nfl  network . awesome job by  and  .  keep up the great work .
SAR	thanks jackie  miss you and ruth lake tennis / swimming / golfing  
SAR	tacoma update and also i need to charge my phone .
SAR	all i wanna be is wrapped in your arms , laying in the dark , looking at stars  
NON	good defending from gibbs there .
SAR	  dude you know what to do and your team hammer  it hard good luck and god bless you and ur team
NON	love how my plans never work out 
NON	what did we learn ? 
SAR	 i am not mad , all i said was no .  awkward 
SAR	need a dose of inspiration ? visit  art   music   creativity   gratitude 
SAR	discovering whole new types of adult toys is always amusing and interesting .
NON	i literally can not wait to see  live .  they are my go to pandora radio ' likeyou
SAR	my idea of happiness is my fridge full of beer .
SAR	our physics lab failed because of her hands
SAR	 i am super excited for you and justin ' s performance on music station in tokyo how amazing !
SAR	exhale all bullshits in your life .
SAR	the best fails of november week   fail   fails   compilation   fail compilation   them ave site 
NON	  aye witness claims before a a bomb exploded the bomber yelled god is great
NON	just possibly sprained my ankle on south campus . my tuesday has been going so swimmingly .
SAR	cleaning the house always puts me in a happy mood !    my therapy   a clean home is a happy home 
NON	 omfg i  have  classes on fridays in spring    
SAR	almost time for our two hour talk about sexual harrassment  yay  .  poop  
SAR	 imagine the damage you would do . you do not deserve to the president of anything
NON	borrow money from a pessimist they do not expect it back .
NON	 problems in math due tomorrow and have not even started  life is good   to much   mathsucks   mathdoesntworkgoodwithmybrain   helpme 
SAR	lmao just saw what my sister wrote . hilarious !
NON	stalking my tweets will not tell u anything . i could tweet i am so mad and be talking about how someone ate the last of the mac n cheese
SAR	loving the energy i invested in my new blog so far . thank you to everyone , that read one or two of my post from
NON	i literally took  mins to forgive out how to download a photo from my phone then attach it to an email 
SAR	i wanna meet little nick so bad lol my boyfriend keeps saying he so smart i would love him
NON	you put up a good run 
NON	to be honest i find it hard to believe that theres someone out there that would be able to spend the rest of their life with me
NON	cnat wait for my little get away this weekend , finally , . , now to call bryners mother so she can babysit . lol
SAR	i need a video of the hug my dumb tv would not work
SAR	 now that the election is going to be over , what will  now discuss ? what do you now talk about after  ?
SAR	can not wait to attend the highschool career exploration in the sports industry at the wfc and then see 
NON	wow nice to just see  of your staff threatening a member of public and running after them bellingham station
NON	 um excuse me sir , but it was our first day of calculus , did i miss the homework already or did you mean in the future ?
SAR	not pressed for friends , i do not give a fuck about these bitches
NON	 good that is for sure !
NON	rt dad why have not u gone to write ur examination ? son dad do not disturb i m preparing for my exams  
SAR	hot pool fun in  hanmer  after a big day of training  time to relax 
NON	mom said that the pizza would match my face lol  pizza   hot 
NON	in  a man went to the jungle and saw a lot of trees .
NON	yesterday tired today tired tomorrow tired next week tired next month tired next year tired next life tired
NON	rt  minutes maggi takes about   minutes to cook this is the reason i have trust issues !
SAR	    thanks mike ! they surprised the heck out of me ! i thought they went upstairs to do homework .  sneaky 
NON	i got all of the classes i wanted . yay . super quick ninja skills aka refreshing the page continuously until it hit  so i could get it done
NON	is blow job one word or two ? trying to win back an ex girlfriend with a love poem .
SAR	grandma mengigau so damn loud right now its scaring the shit outta me 
SAR	as we exit  az thes fest 15  all i hear is violent singing and harmonizing . it ' s beautiful
SAR	will not be a repeat of last year
NON	you have got higher grades than mine , not because you are smarter than me , but because i am lazier than you .
SAR	i hate wednesday ' s because non of my friends finish early so i am just left with nobody to speak to until  /  until they finish
